Gene	Trait	CellType	Tissue
ANKS1B:APC:ATP6V1B2:BPTF:CADM2:CDK14:CSDE1:CTBP1:EIF4G3:ELAVL4:FOXO3:GATAD2B:GRID2:LDB2:MAGI2:MSRA:NCKAP1:PAM:PHF20L1:POGZ:RBFOX1:RBFOX2:SSBP3:STAG1:SYN2:TCF4:TRIM33:WASF1	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Ex5	DER20CC
ANKS1B:BCL11A:CADM2:DENND1A:ELAVL4:GRID2:MAGI2:NCKAP1:PAM:PHF20L1:PLEKHA5:RBFOX1:STAG1:SYN2:TANC2:TCF4:WASF1	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Ex6	DER20CC
ANKS1B:CADM2:CDC42BPB:DENND1A:GRID2:MAGI2:NCKAP1:PAM:PLEKHA5:RBFOX1:STAG1:SYN2:TANC2:TCF4:WASF1	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	Ex7	DER20CC
AGBL4:ANKS1B:APC:ARID1A:CADM2:CDC42BPB:CTBP1:CUX1:ELAVL4:FBXW4:GRID2:IRF2BP2:MAGI2:MBD5:MITF:NFE2L1:PAM:RB1CC1:STAG1:TCF4:TERF2IP:TNR:TRIM33:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In1	DER20CC
ANKS1B:APC:ARID1A:BAZ1B:BPTF:CADM2:CDC42BPB:CKMT1B:CSDE1:CTBP1:DENND1A:ELAVL4:FAF2:FBXL20:FBXW4:GRID2:MAGI2:MITF:MSRA:NCOA1:NF1:NFE2L1:PAM:PCGF5:PHF20L1:PLEKHA5:PPM1L:SEZ6L2:STAG1:TANC2:TCF4:TERF2IP:TNR:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In2	DER20CC
AGBL4:ANKS1B:APC:ARID1A:CADM2:CKMT1B:CSDE1:CTBP1:CUX1:DENND1A:ELAVL4:FBXW4:MITF:NCKAP1:NCOA1:NF1:NFE2L1:PAM:PCGF5:PPM1L:RBFOX2:STAG1:SYN2:TCF4:TNR:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In3	DER20CC
ANKS1B:CADM2:CTBP1:ELAVL4:GRID2:MAGI2:PAM:TCF4:TERF2IP:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In4	DER20CC
ANKS1B:APC:ARID1A:BAZ1B:BRD4:CADM2:CDK12:CKMT1B:CSDE1:CTBP1:DENND1A:ELAVL4:FBXW4:GSK3B:LDB2:MBD5:MITF:NCOA1:NF1:PAM:PCGF5:PHF20L1:PPM1L:PTPRT:RBFOX1:STAG1:TAC1:TANC2:TCF4:TRIM33:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In6	DER20CC
ANKS1B:APC:ARID1A:CADM2:CDC42BPB:CKMT1B:CTBP1:ELAVL4:GRID2:MAGI2:NCKAP1:NCOA1:PAM:STAG1:SYN2:TCF4:WASF1:ZEB2	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In7	DER20CC
ANKS1B:APC:ARID1A:CADM2:CDC42BPB:CKMT1B:CTBP1:DENND1A:ELAVL4:FBXW4:GRID2:MAGI2:MBD5:MITF:NCKAP1:NF1:PAM:PHF20L1:RBFOX1:STAG1:SYN2:TAC1:TCF4:WASF1	Anxiety-tension-special-factor-of-neuroticism_Hill_2019	In8	DER20CC
ABI2:ARHGAP32:ARHGEF7:ATRNL1:ATXN1:CACNA1D:CACNA2D1:CADM2:CALM1:CELSR2:CUX1:FAM13A:GIGYF2:GPM6A:HDAC4:IGF1R:JUN:MAPT:MED27:MEF2C:NAV3:NCAM1:NF1:NFKB1:NR3C1:PCDH7:PCDH9:PKP4:POGZ:POU2F1:PRKACA:PTK2:PTPN1:RBFOX1:RBFOX2:RBPJ:SEMA6D:SORCS3:TCF4:UBQLN1:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex1	DER20CC
ABI2:ARHGAP32:ARHGEF7:ATXN1:CADM2:CDH8:CTNND1:CUX1:DCC:FOXP1:GPM6A:GRID2:HDAC4:IGF1R:MAPT:MED27:MEF2C:NF1:PCDH9:PCMT1:POGZ:POU2F1:PTK2:QRICH1:RAPGEF4:RBFOX1:RBFOX2:RBM6:RBPJ:RUNX1T1:SEMA6D:SORCS3:SYBU:TCF4:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex2	DER20CC
ABI2:ARHGAP32:ARHGEF7:ATRNL1:ATXN1:ATXN2:AUTS2:CACNA2D1:CADM2:CALM1:CSRNP3:CUX1:DCC:DPP10:FAM13A:FOXP2:GPM6A:HDAC4:HIVEP2:IGF1R:KCNIP1:MAPT:MED27:MEF2C:NCAM1:NF1:NR3C1:PBX1:PCDH7:PCDH9:PCMT1:POGZ:POU2F1:PPP2R2B:PRKACA:PTK2:PTPN1:PTPRT:QRICH1:RBFOX1:RBFOX2:RBM33:RBPJ:SEMA6D:SORCS3:SYBU:TCF4:UBAP2L:UBQLN1:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex3	DER20CC
ANK3:ARHGAP32:ARHGEF7:ATRNL1:ATXN1:ATXN2:AUTS2:CADM2:CUX1:DCC:EFNA5:FAM13A:FOXP1:FOXP2:GPM6A:HDAC4:HIVEP2:IGF1R:MAPT:MED27:MEF2C:NF1:NR3C1:PBX1:PCDH7:PCDH9:POGZ:POU2F1:PPP2R2B:PTK2:RAPGEF4:RBFOX1:RBPJ:RUNX1T1:SCN2A:SEMA6D:SOX5:STAG1:TCF4:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex4	DER20CC
ARHGAP32:ARHGEF7:ATRNL1:ATXN1:ATXN2:CADM2:CAMKV:CELF4:CUX1:DCC:FAM13A:FOXP1:FOXP2:GPM6A:HDAC4:IGF1R:IQSEC1:JMJD1C:MAPT:MEF2C:MSI2:NCOR1:NF1:NR3C1:PBX1:PCDH7:PCDH9:POGZ:POU2F1:PTK2:PTPN1:RBFOX1:RBFOX2:RBM6:RBPJ:RUNX1T1:SEMA6D:SHC3:SMARCC1:SORCS3:SRPK2:SYBU:TCF4:THRB:WWOX:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex5	DER20CC
ANK3:ARHGAP32:ATRNL1:ATXN1:ATXN2:CELF4:CUX1:FOXP2:GPM6A:HDAC4:IGF1R:IQSEC1:MEF2C:MEIS2:NF1:NR3C1:PBX1:PCDH7:PCDH9:POU2F1:PRKD1:PTPN1:RAPGEF4:RBFOX1:RBFOX2:RBM6:RBPJ:RUNX1T1:SCN2A:SHC3:SORCS3:SOX5:STRBP:WWOX	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex6	DER20CC
AKAP6:ANK3:ARHGAP32:ARHGEF7:ATRNL1:ATXN1:ATXN2:AUTS2:CADM2:CELSR2:CUX1:DCC:FAM13A:GALNT2:GPM6A:HDAC4:HSPA9:IGF1R:MAPT:MEF2C:NCAM1:NCOR1:NR3C1:PCDH7:PCDH9:PCMT1:PDE4D:POGZ:POU2F1:PPP2R2B:PRKAR2A:PTK2:PTPN1:PTPRF:PTPRN2:RAPGEF4:RBFOX1:RBFOX2:RBM6:RBPJ:RNF4:RUNX1T1:SCN2A:SHC3:SMYD3:SORCS3:SORT1:SOX5:STRBP:SYBU:TCF12:UBQLN1	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex7	DER20CC
ARHGAP21:ARHGAP32:ARHGEF7:ATRNL1:ATXN1:ATXN2:CADM2:CDH2:CDK8:CELF1:CELF2:CELF4:CEP70:CHRM3:CUX1:DNM1:DPP10:GIGYF2:GPM6A:HDAC4:HIVEP3:IGF1R:IQSEC1:JAKMIP1:KANSL1:MAP2K1:MAP3K2:MAPT:MED27:MEF2C:NCOR1:NR3C1:NTNG2:PCDH9:PDE4D:POGZ:PPP2R2B:PRKACA:PRKD1:PTK2:PTPN1:PTPN11:RBFOX1:RBM33:RBM6:RUNX1T1:SEMA6D:SGCD:SHC3:SMYD3:SORCS3:SOX5:SYBU:SZT2:TCF4:TPM3:WWOX:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	Ex8	DER20CC
AKAP6:ANK3:ARHGAP32:ARHGEF7:ATXN1:ATXN2:AUTS2:CACNA1A:CACNA1D:CDH8:CUX1:ERBB4:GPM6A:MAPT:MEF2C:NCOR1:NR3C1:PCDH9:PDE4D:PITPNC1:POGZ:PRKACA:PRKCA:RAPGEF4:RBFOX1:RBFOX2:RBM6:RUNX1T1:SEMA6D:SORCS3:STAT5B:TCF12:YWHAG	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In1	DER20CC
ATRNL1:ATXN1:ATXN2:AUTS2:CACNA1D:CADM2:CALN1:CHRM3:CNTNAP2:CUX1:DCC:DCLK1:GPM6A:HDAC4:KCNAB2:KCNJ3:MEF2C:MSI2:NCAM1:NCOR1:NR3C1:PCDH7:PCDH9:POGZ:PPP2R2B:PRKACA:RAPGEF4:RBFOX1:RBFOX2:RBM6:RBPJ:RNF4:RUNX1T1:SEMA6D:SORCS3:TCF4:WWOX	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In3	DER20CC
AKAP6:ARHGAP32:ATXN1:CACNA2D1:CELF4:CUX1:GPM6A:MEF2C:MSI2:PBX1:PDE4D:POGZ:PRKACA:RAPGEF4:RBFOX1:RBFOX2:SORCS3	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In4	DER20CC
ARHGAP32:ATRNL1:ATXN1:AUTS2:CACNA2D1:CADM2:CUX1:FOXO1:GABRB1:GPM6A:HDAC4:KCNIP1:KCNJ3:MAPT:MARK3:MEF2C:MYO18A:NF1:NR3C1:PCDH7:PCMT1:POGZ:POU2F1:PRKACA:QRICH1:RASGRF1:RBFOX1:RBPJ:SEMA6D:SORCS3:SOX5:SRPK2:TCF12:TCF4:THRB:UBQLN1	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In5	DER20CC
AKAP6:ARHGAP32:ATRNL1:ATXN1:ATXN2:AUTS2:CADM2:CADPS:CELSR2:CNTNAP2:CSRNP3:CUX1:ERBB4:GPM6A:HCN1:HDAC4:IGF1R:KCNJ3:MAPT:MEF2C:NCOR1:NF1:NR3C1:PBX1:PCDH7:PCDH9:PCMT1:PDE4D:POU2F1:PPP2R2B:PRKACA:PTPN1:RAPGEF4:RBFOX1:RBPJ:RUNX1T1:SHC3:SLC9A9:SORCS3:SOX5:TCF12:TCF4:ZMIZ1	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In6	DER20CC
ANKRD28:ARHGAP32:ARHGEF7:ATP1A3:ATRNL1:ATXN1:ATXN2:AUTS2:CACNA1D:CADM2:CAMK4:CDH8:CREBBP:CSRNP3:CUX1:EPHA5:ERBB4:GPM6A:GRID2:HCN1:HDAC4:KCNIP1:MAN1A1:MEF2C:NFKB1:PBX1:PCDH7:PCDH9:PPP2R2B:PRKACA:PTPRT:QRICH1:RAPGEF4:RBFOX1:RBPJ:RUNX1T1:SCN2A:SMARCA2:SOX5:TCF12:TCF4:UBE2I:ZNF385B	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In7	DER20CC
ARHGAP32:ASTN1:ATRNL1:ATXN1:ATXN2:AUTS2:CDH2:CDH8:CTNNA2:CUX1:ERBB4:GIGYF2:GPM6A:HDAC4:JMJD1C:KCNIP1:MEF2C:NF1:NR3C1:PCDH7:PCDH9:PKP4:POGZ:QRICH1:RAPGEF4:RBFOX1:RBFOX2:RBM33:RBM6:RBPJ:RUNX1T1:SOX5:TCF12:TCF4:UBE2I:UBQLN1	Attention-Deficit-Hyperactivity-Disorder_Demontis_2017	In8	DER20CC
ATP2B2:DCLK1:EXOC4:FBXW7:FMNL2:GABBR1:GRIN2B:KCNMA1:MAP4:MAPT:MSI2:NCALD:NF1:NRG1:PIK3R1:PPFIA3:PPP3CA:PRKCA:PRKCB:PRKCE:PTPRF:RYK:SCN3B:SHC3:SIPA1L1:SORBS1:SRPK2:TFDP2:TSC22D1:VAPA:VDAC1:ZC3H13	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Ex1	DER20CC
ARHGEF7:ATP2B2:DCLK1:EXOC4:FBXW7:GRID2:GRIN2B:KCNMA1:MAGI2:MAPT:MGAT4C:MSI2:MYO5A:NCALD:NF1:PIK3R1:POU6F2:PRKCA:PRKCB:RAPGEF2:RAPGEF4:RORA:SND1:TSC22D1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Ex2	DER20CC
ACTN2:APP:ARHGEF7:ATP2B2:DCLK1:EPB41:EXOC4:FBXW7:GABBR1:GRB2:GRIN2B:KCNMA1:MAP4:MAPT:MLLT10:MSI2:MYO5A:NCALD:NF1:NRG1:PCMT1:PIK3R1:POU6F2:PPP2R2B:PPP3CA:PRKCA:PRKCB:PTBP3:RORA:SGIP1:SHC3:SORBS1:TLE1:TSC22D1:USP7	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Ex3	DER20CC
ARIH1:ATP2B2:CCNY:DCLK1:EXOC4:FBXL17:FBXW7:FGFR1:GRID2:GRIN2B:HS3ST4:KCNMA1:MAGI2:MAGI3:MAPT:NCALD:NF1:NRCAM:NRG1:OPCML:POU6F2:PRKCA:PRKCB:RAPGEF4:ROBO1:ROBO2:SLC1A2:TSC22D1:VDAC1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Ex6	DER20CC
ACTN2:ARHGEF7:ATP2B2:BCR:ELAVL1:EXOC4:EXT1:FBXW7:GABBR1:GABRG3:GRID2:GRIN2B:KCNMA1:MAGI2:MAPT:MLLT10:MYO5A:NCALD:NF1:NRG1:NRG3:PIK3R1:POU6F2:PPP3CA:PRKCA:PRKCB:PRKCE:SCN3B:SEMA4D:SGIP1:SHC3:SLC4A10:TSC22D1:XKR6	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	Ex7	DER20CC
APP:ATP2B2:DCLK1:EXOC4:FBXW7:GABBR1:GRID2:GRIN2B:KCNMA1:MAPT:NCALD:NF1:NTN4:PPP3CA:PRKCA:PRKCB:PRKCE:RAPGEF4:ROBO1:ROBO2:SGIP1:SLC1A2:SLC24A3:TSC22D1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In1	DER20CC
ARIH1:ATP2B2:DSCAM:ESR1:EXOC4:FBXL17:FBXW7:GRID2:GRIN2B:HDAC4:HDAC9:KCNMA1:MAP4:MAPT:MGAT4C:MSI2:MYO5A:NF1:NR2F2:NTN4:PPP3CA:PRKCA:PRKCE:ROBO1:ROBO2:RORA:SORBS1:TSC22D1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In2	DER20CC
APP:ARIH1:ATP2B2:DCLK1:EXOC4:FBXW7:GRB2:GRIN2B:HDAC9:KCNMA1:MAP4:MAPT:MLLT10:MSI2:NCALD:NF1:NRG1:NRG3:PIK3R1:PRKCA:PRKCB:PRKCE:RORA:SGIP1:SHC3:SLC24A3:SORBS1:SRPK2:TSC22D1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In3	DER20CC
ATP2B2:EXT1:FBXW7:GRB2:KCNMA1:MAPT:MGAT4C:MSI2:NF1:NRG1:NSF:PRKCA:PRKCB:PRKCE:PTPRO:SHC3	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In4	DER20CC
ATP2B2:DCLK1:EXOC4:EXT1:FBXW7:GABBR1:GABRB2:GABRG3:GRIN2B:KCNMA1:MAPT:MGAT4C:MYO5A:NF1:NOS1:NRCAM:NRG3:NTNG1:PIK3CA:PPP3CA:PRKCA:PRKCB:PRKCE:PRKG1:PTPRB:PTPRO:RAPGEF4:SGMS1:SHC3:SIPA1L1:TSC22D1:UPP2:VAV2	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In5	DER20CC
APP:ARHGAP35:ARIH1:ATP2B2:CTBP1:DCLK1:EXOC4:EXT1:FBXW7:GABBR1:GRID2:GRIN2B:HDAC4:HDAC9:HPSE2:KCNMA1:MAGI2:MAP4:MAPT:MSI2:NCALD:NF1:NTN4:PPP3CA:PRKCA:RAPGEF4:ROBO1:ROBO2:RORA:SHC3:SIPA1L1:SORBS1:SRPK2:TAOK3:TSC22D1:USP7	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In6	DER20CC
ARIH1:ATP2B2:DCLK1:EXOC4:FBXL17:GRID2:GRIN2B:HDAC4:KCNMA1:MAP4:MAPT:MGAT4C:NCALD:NF1:NTN4:PRKCA:RAPGEF4:ROBO1:ROBO2:SLC24A3:SRPK2:TAOK3:TSC22D1	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In7	DER20CC
ARIH1:ATP2B2:DCLK1:EXOC4:FBXL17:GRID2:GRIN2B:KCNMA1:MAPT:MGAT4C:MSI2:NCALD:NF1:NTN4:PRKCA:RAPGEF4:ROBO1:ROBO2:RORA	Autism_Psychiatric-Genomics-Consortium_2017_Autism-Europeans	In8	DER20CC
ADD3:ANP32E:ASPH:CACNB2:CKB:CNN3:EGR1:EPS15:FMNL2:FOS:LIFR:MAPK1:PRKCA:QKI:SDC4:SLC39A12:SPCS1:SSR1:SYNE1:YWHAE	Bipolar-Disorder_Stahl_2018	Astrocytes	DER20CC
ADD3:AKT3:ANKRD11:ANKS1B:ARNTL:ATP1A3:ATP1B1:ATP1B3:ATP2B2:BAG4:BRAF:BTBD9:CACNA1C:CACNA1D:CACNB2:CACNG2:CAMK2B:CD47:CDK6:CNTN4:DCUN1D1:EIF5B:FAF1:FGF12:GABRA4:GNAQ:GRIN2A:GRIN2B:GRM1:GRM5:HDAC4:HIVEP3:HLF:HS6ST3:KAT2B:KCNB1:KCNC2:KCNQ2:MAP2:MAP2K4:MAPK1:MAPK10:MAPK14:MARK2:MEF2A:NCOA2:NCOA6:NDST3:NEDD4L:NKAIN2:NTRK3:PACS1:PACSIN2:PDE4D:PLCL1:POGZ:PRKCA:PRKD1:PTPRE:PTPRR:RBFOX1:RGS7:RIMS1:RPRD2:RTN4:RYR2:SCN2A:SFPQ:SLC20A2:SLC4A10:SLIT3:SNAP91:SORBS2:SSBP2:STK4:SUGP1:SUN1:SYNE1:SYNJ1:SYT4:THRA:THRB:TMEM108:TRPC1:UBE2E3:VAC14:VPS45:YWHAE:YWHAG:ZFAND3	Bipolar-Disorder_Stahl_2018	Ex1	DER20CC
ABCC8:ADK:AFF4:AKT3:ANKRD11:ANKS1B:ARNTL:ASPH:ATP1A3:ATP1B1:ATP1B3:ATP2B2:BAG4:BRAF:BSN:BTBD9:CA10:CACNA1C:CACNA1D:CACNB2:CACNG2:CADPS:CDK6:CUL1:DNAJC5:DNM2:DYNC1I1:EGR1:FAF1:FGF12:GABRA4:GRIN2A:HDAC4:HLF:HS6ST3:ITCH:KCNB1:KCNC2:KCNQ2:LRRFIP2:MACROD2:MAP2:MAPK1:MAPK10:MARK2:MBP:MEF2A:MIPOL1:MXI1:MYH10:NCAN:NDST3:NEDD4L:NEK4:NKAIN2:NR3C2:NRG1:NSUN4:PACS1:PBRM1:PDE3B:PDE4D:PIGU:PLCL1:POGZ:PRKCA:PRKD1:PTBP3:PTPRE:RABGAP1L:RBFOX1:RBM26:RGS7:RIMS1:RPRD2:RTF1:RTN4:SCN2A:SLC20A2:SLC4A10:SLC8A3:SMARCA2:SNAP91:SOD2:SRPK2:SSBP2:STK4:SYNE1:SYT4:THRB:TMEM108:TOP1:TRPC1:TSGA10:UBE2E3:VAC14:VAV3:VPS45:YWHAE:ZFAND3	Bipolar-Disorder_Stahl_2018	Ex2	DER20CC
ADD3:AFF4:AKT3:ANKRD11:ANKS1B:ARNTL:ASPH:ATP1A3:ATP1B1:ATP1B3:ATP2B2:BRAF:BTBD9:CACNA1C:CACNA1D:CACNA1I:CACNB2:CACNG2:CADPS:CD47:CDK6:CNTN4:CREB1:CSDE1:DNAJC5:FAF1:FGF12:GABRA4:GNAQ:GRIN2A:HCN1:HDAC4:HDAC5:HLF:ITCH:KAT2B:KCNB1:KCNC2:KCNQ2:LRRFIP2:MACF1:MAPK1:MAPK10:MAPK14:MARK2:MEF2A:MYH10:NCAN:NCOA6:NEDD4L:NKAIN2:NRG1:NTRK3:PACS1:PBRM1:PDE4D:PLCL1:PLEKHO1:PPM1A:PRKCA:PRKD1:PTPRE:RBFOX1:RGS7:RIMS1:RORB:RTN4:RYR2:SCN2A:SEC23A:SFPQ:SLC24A2:SLC4A10:SMARCA2:SNAP91:SORBS2:SSBP2:SYNE1:SYT4:TCF12:THRA:TMEM108:UBE2E3:VAC14:VAPA:VAV3:VPS45:YWHAE	Bipolar-Disorder_Stahl_2018	Ex3	DER20CC
ANKS1B:ATP1A3:ATP1B1:ATP1B3:ATP2B2:BRAF:BTBD9:CACNA1C:CACNA1D:CACNB2:CACNG2:CADPS:FAF1:FGF12:GABRA4:GPM6A:GRIN2A:GRM1:HDAC4:HLF:ITCH:KCNB1:KCNQ2:LRRFIP2:MAP2:MAPK1:MAPK10:MEF2A:NEDD4L:NEK4:NKAIN2:NLK:NRG1:PDE4D:PLCL1:PPM1A:PRKCA:PRKD1:RBFOX1:RGS7:RIMS1:RYR2:SCN2A:SETBP1:SLC20A2:SLC24A2:SLC4A10:SLC8A3:SMARCA2:SRPK2:STXBP5L:SYNE1:UBE2E3:VAC14:YWHAE	Bipolar-Disorder_Stahl_2018	Ex4	DER20CC
ADK:AFF4:AKT3:ANKS1B:ARNTL:ATP1A3:ATP1B1:ATP1B3:ATP2B2:BAG4:BRAF:BTBD9:CACNA1C:CACNA1D:CACNA1I:CACNB2:CACNG2:CADPS:CD47:FAF1:FGF12:FGFR1:GABRA4:GRIN2A:HDAC4:HDAC5:HLF:ILF3:ITCH:KAT2B:KCNB1:KCNC2:KCNQ2:MAP2:MAP2K4:MAP2K5:MAPK1:MAPK10:MARK2:MARK3:MEF2A:MIPOL1:MYH10:NCOA6:NEDD4L:NKAIN2:NRG1:NUP50:PACS1:PDE1C:PDE4D:PIGU:PLCL1:POGZ:PPP1R13B:PRKCA:PRKCB:PRKD1:PTPRT:RABGAP1L:RBFOX1:RGS7:RIMS1:RIT2:RTN4:RUNX1T1:RYR2:SCN2A:SLC20A2:SLC24A2:SLC4A10:SLC8A3:SNAP91:SRPK2:SRRM2:STK4:SYNE1:SYT4:TMEM108:UBE2E3:UBE2R2:VAC14:VPS45:WASF3:YWHAE:ZBTB16	Bipolar-Disorder_Stahl_2018	Ex5	DER20CC
ADD3:ADK:ANKRD11:ANKS1B:ATP1B3:ATP2B2:BCL11B:BRAF:BTBD9:CACNA1C:CACNA1D:CACNB2:CACNG2:CADPS:CD47:DNAJC5:EGR1:FAF1:FGF12:FGFR1:GABRG3:GRIN2A:HDAC4:HLF:ILF3:ITCH:KCNB1:KCNQ2:LRRFIP2:MACROD2:MAP2:MAPK1:MAPK10:MEF2A:MYH10:NEDD4L:NEK4:NKAIN2:NRG1:PACS1:PDE3B:PDE4D:PRKCA:PRKCB:PRKD1:PTPRE:RAP1A:RBFOX1:RGS7:RIMS1:RYR2:SCN2A:SLC20A2:SLC24A2:SLC4A10:SLC8A3:SNAP91:SORBS2:SRRM2:SSBP2:ST13:SYNE1:TRPM3:VAC14:WASF3:YWHAE	Bipolar-Disorder_Stahl_2018	Ex6	DER20CC
ADK:AFF4:AKT3:ANKS1B:ARNTL:ATP1A3:ATP1B1:ATP1B3:ATP2B2:BRAF:BTBD9:CACNA1C:CACNA1D:CACNA1I:CACNB2:CACNG2:CADPS:CAMK2B:CD47:CDK6:CNTN4:CREB1:CRK:DLGAP2:DNAJC5:DST:DZIP3:EGR1:EIF5B:ETS2:FAF1:FGF12:FRYL:GABRA4:GNAQ:GPM6A:GRIN2A:GRM1:GRM5:HDAC4:HLF:HOMER1:HSPH1:ILF3:ITCH:KCNB1:KCNQ2:MACROD2:MAP2K4:MAPK1:MAPK10:MARK2:MEF2A:MYH10:NEDD4L:NEK4:NKAIN2:NLK:NRG1:PACS1:PDE3B:PDE4D:PIP5K1A:PLCL1:PRKCA:PRKCB:PRKD1:PTPRE:RABGAP1L:RANGAP1:RAP1A:RBFOX1:RGS7:RIMS1:RPRD2:RTF1:RTN4:RYR2:SCN2A:SFPQ:SLC20A2:SLC4A10:SLC8A3:SNAP91:SRPK2:SRRM2:STK4:STXBP5L:SUN1:SYNE1:SYNJ1:SYT4:THRA:THRB:TMEM108:UBE2E3:VAC14:WASF3:YWHAE	Bipolar-Disorder_Stahl_2018	Ex7	DER20CC
ABCC8:ADD3:AFF4:ANKS1B:ARNTL:ATP1B3:ATP2B2:BRAF:BTBD9:CA10:CACNA1C:CACNA1D:CACNB2:CACNG2:CADPS:CAMK2B:CD47:CDK6:CNTN4:DNM2:FAF1:FGF12:GABRA1:GABRA4:GRIN2A:HLF:ITCH:KAT2B:KCNB1:KCNC2:MAP2:MAPK1:MAPK10:MEF2A:NCAN:NEDD4L:NEK4:NGEF:NKAIN2:NRG1:PACS1:PDE4D:PIGU:POGZ:PRKCA:PRKD1:PTPRE:RBFOX1:RHOBTB1:RIMS1:RIT2:SLC4A10:SORBS2:SRPK2:SRRM2:SSBP2:SYNE1:SYT4:THRA:UBE2R2:WASF3	Bipolar-Disorder_Stahl_2018	Ex8	DER20CC
ADK:AKT3:ALK:ANKS1B:ATF2:ATP1B3:ATP2B2:BCL11B:BRAF:CACNA1C:CACNA1D:CACNB2:CADPS:CAMK2B:CELF4:CNTN1:CNTN4:CSRNP3:CUL1:DNM2:DST:EWSR1:FAF1:FGF12:GABRG2:GABRG3:GNAQ:GPM6A:GPR158:GRIN2A:GRIN2B:GRM5:GSK3B:HDAC5:HLF:ILF3:KCNB1:MAP2:MAPK1:MAPK10:MAPK14:MAPT:MEF2A:MIPOL1:NCOA2:NEDD4L:NKAIN2:NR3C2:NTRK3:NUP50:OSBPL9:PDE3B:PDE4D:PRKCA:PRKD1:PTPRE:PTPRN2:PTPRS:RBFOX1:RBM25:RGS7:RIMS1:RXRA:SCN2A:SFPQ:SHANK2:SLC20A2:SLC4A10:SLC8A3:SMARCA2:SNAP91:SRPK2:SRRM2:SSBP2:SYNE1:TCF12:THRA:THRB:TMEM108:UBE2E3:WASF3:YWHAE:YWHAG:ZMYND11	Bipolar-Disorder_Stahl_2018	In1	DER20CC
ADK:AFF4:AKT3:ANKRD11:ANKS1B:APBA2:ATP1A3:ATP1B1:ATP1B2:ATP1B3:ATP2B2:ATXN1:BRAF:BSN:BTBD9:CACNA1B:CACNA1C:CACNA1D:CACNB2:CADM2:CADPS:CCS:CD47:CELF2:CSDE1:CUL1:DNAJC5:FAF1:FGF12:FN1:GABRA1:GABRA4:GNAQ:GRIN2A:HCN1:HDAC5:HIVEP3:HLF:HS6ST3:KCNB1:KCNC2:KCNQ2:KIF1A:KIT:LRRFIP2:LUC7L3:MACROD2:MAPK1:MAPK10:MEF2A:MIPOL1:MYH10:NCOA2:NEDD4L:NEK4:NKAIN2:OSBPL9:PDE3B:PDE4D:PLEKHO1:POGZ:PPP1R13B:PRKCA:PRKD1:PTPRE:QKI:RAF1:RBM25:RGS7:RIMS1:RPRD2:RTN4:RXRA:RYR2:SCN2A:SLC24A2:SLC4A10:SLC8A3:SNAP91:SORBS1:SRPK2:SSBP2:SYNE1:TCF12:TFCP2:TFDP2:TMEM108:TNPO1:TRPC1:UBE2R2:VAC14:WASF3:YWHAE:ZFAND3	Bipolar-Disorder_Stahl_2018	In2	DER20CC
